기준_관광지,순위,비교_대상,SBERT_유사도(가중적용),자카드_유사도,공통_키워드,기준지_고유_키워드,비교지_고유_키워드
UN공원,1,깡깡이예술마을,0.969,0.0921,"화려하다, 새롭다, 거대하다, 특별하다, 단순하다","색다르다, 조용하다, 가득하다, 희다, 영원하다","알록달록하다, 낡다, 복잡하다, 박하다, 알차다"
UN공원,2,범어사,0.9687,0.1667,"빨갛다, 정갈하다, 강하다, 화려하다, 시원하다","조용하다, 영원하다, 고귀하다, 불안정하다, 새롭다","평온하다, 훈훈하다, 여전하다, 꾸준하다, 복잡하다"
UN공원,3,호천마을,0.9681,0.1867,"새롭다, 시원하다, 색다르다, 특별하다, 수많다","조용하다, 영원하다, 고귀하다, 불안정하다, 화려하다","느리다, 정겹다, 여전하다, 낡다, 구불구불하다"
UN공원,4,감천문화마을,0.9654,0.1034,"성하다, 진하다, 조용하다, 특별하다, 가득하다","색다르다, 영원하다, 고귀하다, 불안정하다, 화려하다","아기자기하다, 활기차다, 알록달록하다, 행복하다, 이쁘다"
UN공원,5,부산치유의숲,0.9654,0.0722,"강하다, 시원하다, 조용하다, 거대하다, 특별하다","색다르다, 가득하다, 희다, 영원하다, 고귀하다","아기자기하다, 청량하다, 평온하다, 위험하다, 굵다"
UN공원,6,부산박물관,0.9638,0.0515,"새롭다, 오래되다, 깊다, 따뜻하다, 한적하다","색다르다, 조용하다, 가득하다, 희다, 영원하다","부지런하다, 까맣다, 이쁘다, 적당하다, 안좋다"
UN공원,7,전포카페거리,0.9621,0.1294,"빨갛다, 강하다, 새롭다, 시원하다, 진하다","색다르다, 가득하다, 영원하다, 고귀하다, 불안정하다","아기자기하다, 잔잔하다, 고급스럽다, 차분하다, 대단하다"
UN공원,8,임랑해수욕장,0.9617,0.1209,"빨갛다, 성하다, 진하다, 조용하다, 붉다","색다르다, 희다, 영원하다, 고귀하다, 불안정하다","탱글탱글하다, 위험하다, 복잡하다, 행복하다, 후회되다"
UN공원,9,이기대도시자연공원,0.9614,0.0625,"화려하다, 시원하다, 색다르다, 조용하다, 가득하다","희다, 영원하다, 고귀하다, 불안정하다, 새롭다","청량하다, 위험하다, 잔잔하다, 여전하다, 까맣다"
UN공원,10,상해거리,0.9613,0.0759,"화려하다, 진하다, 색다르다, 조용하다, 특별하다","가득하다, 희다, 영원하다, 고귀하다, 불안정하다","곱다, 복잡하다, 적당하다, 헷갈리다, 풍부하다"
UN공원,11,절영해안산책로,0.961,0.1806,"강하다, 화려하다, 새롭다, 시원하다, 조용하다","색다르다, 영원하다, 고귀하다, 불안정하다, 한적하다","아기자기하다, 알록달록하다, 잔잔하다, 낡다, 행복하다"
UN공원,12,누리마루,0.9609,0.0986,"새롭다, 시원하다, 붉다, 아름답다, 희다","색다르다, 조용하다, 가득하다, 영원하다, 고귀하다","아기자기하다, 부지런하다, 행복하다, 이쁘다, 뿌옇다"
UN공원,13,을숙도생태공원,0.9609,0.1139,"새롭다, 시원하다, 진하다, 조용하다, 특별하다","색다르다, 가득하다, 희다, 영원하다, 고귀하다","거뜬하다, 정교하다, 자유롭다, 놀랍다, 넉넉하다"
UN공원,14,초량이바구길,0.9598,0.0595,"시원하다, 조용하다, 가득하다, 아름답다, 따뜻하다","색다르다, 희다, 영원하다, 고귀하다, 불안정하다","포근하다, 복잡하다, 부럽다, 행복하다, 이쁘다"
UN공원,15,구덕야영장,0.9596,0.0843,"새롭다, 조용하다, 오래되다, 가득하다, 아름답다","색다르다, 희다, 영원하다, 고귀하다, 불안정하다","이쁘다, 찹찹하다, 자유롭다, 안락하다, 힘드다"
UN공원,16,아홉산숲,0.9592,0.0659,"새롭다, 시원하다, 거대하다, 아름답다, 깊다","색다르다, 조용하다, 가득하다, 희다, 영원하다","꼼꼼하다, 부지런하다, 위험하다, 잔잔하다, 지겹다"
UN공원,17,광안대교,0.9589,0.0337,"조용하다, 아름답다, 특별하다","색다르다, 가득하다, 희다, 영원하다, 고귀하다","비루하다, 위험하다, 포근하다, 적당하다, 깔끔하다"
UN공원,18,맥도생태공원,0.9589,0.0658,"난감하다, 진하다, 조용하다, 오래되다, 뜨겁다","색다르다, 가득하다, 희다, 영원하다, 고귀하다","아기자기하다, 부럽다, 적당하다, 자유롭다, 차갑다"
UN공원,19,자갈치시장,0.9575,0.0476,"깊다, 화려하다, 새롭다, 오래되다","색다르다, 조용하다, 가득하다, 희다, 영원하다","정겹다, 복잡하다, 적당하다, 깔끔하다, 정확하다"
UN공원,20,화명생태공원,0.9573,0.0556,"부끄럽다, 가득하다, 아름답다, 더하다","색다르다, 조용하다, 희다, 영원하다, 고귀하다","부지런하다, 이쁘다, 깔끔하다, 알맞다, 청결하다"
UN공원,21,금정산성,0.9571,0.0761,"정갈하다, 새롭다, 시원하다, 조용하다, 특별하다","색다르다, 가득하다, 희다, 영원하다, 고귀하다","꼼꼼하다, 정겹다, 대단하다, 행복하다, 적당하다"
UN공원,22,태종대,0.9566,0.0822,"시원하다, 조용하다, 가득하다, 아름답다, 깊다","색다르다, 희다, 영원하다, 고귀하다, 불안정하다","아기자기하다, 힘드다, 차갑다, 불편하다, 적절하다"
UN공원,23,장안사,0.9562,0.1609,"성하다, 강하다, 새롭다, 시원하다, 진하다","색다르다, 희다, 영원하다, 고귀하다, 불안정하다","고급스럽다, 꾸준하다, 대단하다, 깔끔하다, 단정하다"
