기준_관광지,순위,비교_대상,최종_유사도,SBERT_점수,가중_자카드,엣지_공통_키워드,기준지_고유,비교지_고유
강서체육공원,1,맥도생태공원,0.7327,0.9022,0.0544,"농구장, 경기장, 운동장, 테니스장","조깅, 실내수영장, 센터, 잔디밭, 클럽","굿데이, 기록, 표지판, 공식, 게이트볼"
강서체육공원,2,구덕운동장,0.6978,0.8599,0.0492,"실내수영장, 경기장, 야구장, 연습장, 운동장","조깅, 센터, 잔디밭, 여러가지, 실내수영장","구의회, 안산와스타디움, 전국체전, 문수월드컵경기장, 전남드래곤즈"
강서체육공원,3,부산프리미엄아울렛,0.6789,0.8486,0.0,운동장,"잔디밭, 조깅, 클럽, 센터, 실내수영장","타미힐피거, 빈폴, 득템, 쇼핑몰, 품절"
강서체육공원,4,을숙도생태공원,0.6768,0.8436,0.0097,"배경, 실내수영장, 개장, 야구장","조깅, 센터, 클럽, 체육, 체육공원역","어린이, 학교, 아이스, 날씨, 자연환경"
강서체육공원,5,삼락생태공원,0.6683,0.8313,0.0164,"연습장, 실내수영장, 이용권, 여러가지, 개장","조깅, 센터, 클럽, 체육, 실내수영장","자차, 바운스, 백련, 휴식시간, 우천"
강서체육공원,6,국립해양박물관,0.666,0.8325,0.0,"배경, 여러가지, 센터, 개장","조깅, 잔디밭, 클럽, 체육공원역, 체육","국립박물관, 나전, 층별, 하늘정원, 확대경"
강서체육공원,7,송정해수욕장,0.6648,0.827,0.016,"이용권, 실내수영장, 개장, 여러가지, 경기장","조깅, 센터, 잔디밭, 체육, 클럽","청사포, 송정항, 감태, 충전, 초보자"
강서체육공원,8,문화빙상센터,0.6629,0.8202,0.0339,"경기장, 이용권, 실내수영장, 헬스장, 배경","조깅, 잔디밭, 체육공원역, 클럽, 센터","수강신청, 아이스링크, 얼음, 눈썰매장, 스케이팅"
강서체육공원,9,안데르센마을,0.6527,0.8083,0.0303,"선착순, 개장, 캠핑장","조깅, 잔디밭, 체육, 센터, 체육공원역","동화작가, 헨젤과그레텔, 트리하우스, 이야기, 촬영소"
강서체육공원,10,대저생태공원,0.6473,0.807,0.0082,"여러가지, 개장, 야구장, 캠핑장","센터, 클럽, 실내수영장, 체육, 연습장","만평, 라이딩, 마편초, 벚꽃놀이, 갓길"
강서체육공원,11,사상인디스테이션,0.6438,0.8011,0.0149,"여러가지, 선착순, 면적, 개장","조깅, 잔디밭, 체육공원역, 센터, 실내수영장","쇼케이스, 엔터테인먼트, 힙합, 멤버, 발매"
강서체육공원,12,낙동강하구에코센터,0.6362,0.7952,0.0,"센터, 여러가지","클럽, 센터, 조깅, 연습장, 체육","낙동강하구둑, 대동여지도, 새둥지, 하중도, 생태관광"
강서체육공원,13,보수동책방골목,0.6359,0.7949,0.0,"체육공원역, 면적","조깅, 잔디밭, 체육, 클럽, 실내수영장","아테네, 라파엘로, 책방, 안내소, 다방"
강서체육공원,14,성지곡수원지,0.6353,0.7941,0.0,"체육공원역, 야구장","실내수영장, 센터, 조깅, 클럽, 연습장","시댁, 지곡, 공원로, 회동수원지, 동행"
강서체육공원,15,영화의전당,0.6333,0.7916,0.0,"핫플, 경기장","조깅, 잔디밭, 센터, 클럽, 연습장","영화평론가, 크리스마스, 회전목마, 좀비, 핫초코"
강서체육공원,16,화명생태공원,0.6281,0.7831,0.0078,"이용권, 여러가지, 캠핑장, 개장","조깅, 센터, 연습장, 체육, 잔디밭","바나나보트, 화명대교, 맥주, 대천천, 나이트"
강서체육공원,17,벡스코,0.625,0.7813,0.0,"여러가지, 면적, 배경","조깅, 클럽, 잔디밭, 센터, 체육공원역","지스타, 신혼여행, 도서전, 엄빠, 설문조사"
강서체육공원,18,깡깡이예술마을,0.6217,0.7771,0.0,"센터, 개장","조깅, 잔디밭, 연습장, 클럽, 체육","깡깡이, 빈티, 문화센터, 송도해수욕장, 아지트"
강서체육공원,19,장안사,0.6127,0.7659,0.0,"여러가지, 헬스장","조깅, 센터, 잔디밭, 클럽, 체육","오리고기, 닭볶음탕, 장안사대웅전, 열반, 라면"
강서체육공원,20,감천문화마을,0.6116,0.7645,0.0,배경,"센터, 조깅, 연습장, 체육, 실내수영장","마추픽추, 게스트하우스, 정취, 외부, 노을"
강서체육공원,21,야구등대,0.6104,0.7577,0.0213,야구장,"조깅, 잔디밭, 클럽, 센터, 체육","고리원전, 횟감, 칠암항, 밀크, 동백항"
강서체육공원,22,아미르공원,0.6077,0.7597,0.0,"체육공원역, 배경","조깅, 센터, 클럽, 연습장, 체육","해파리, 비빔밥, 전람회, 수국, 타코야끼"
강서체육공원,23,누리마루,0.6064,0.758,0.0,조깅,"센터, 연습장, 클럽, 실내수영장, 체육","캔버라, 애기, 꽃말, 휴양지, 내내"
강서체육공원,24,광안리SUPZONE,0.6041,0.7551,0.0,여러가지,"센터, 조깅, 연습장, 잔디밭, 클럽","서핑보드, 서퍼, 윈드서핑, 민락회, 수상"
강서체육공원,25,부산어촌민속관,0.6035,0.7544,0.0,"체육공원역, 여러가지, 개장","조깅, 센터, 클럽, 잔디밭, 체육","정월대보름, 유아차, 아들, 재첩국, 크레파스"
강서체육공원,26,부네치아,0.6033,0.7541,0.0,"배경, 야구장","센터, 연습장, 조깅, 체육, 클럽","맛술촌, 도시숲, 레인보우브릿지, 정원, 벚꽃"
강서체육공원,27,서동미로시장,0.601,0.7512,0.0,"여러가지, 경기장","조깅, 잔디밭, 클럽, 센터, 실내수영장","미가, 아주머니, 분식점, 마트, 가게"
강서체육공원,28,아홉산숲,0.5976,0.747,0.0,"체육공원역, 배경","센터, 클럽, 조깅, 연습장, 실내수영장","거제도, 불고기, 보리차, 식사, 당간지주"
강서체육공원,29,절영해안산책로,0.5974,0.7468,0.0,여러가지,"클럽, 연습장, 센터, 실내수영장, 잔디밭","돼지, 자갈길, 중간지점, 완주, 갈맷"
강서체육공원,30,흰여울문화마을,0.5949,0.7403,0.0136,핫플,"센터, 클럽, 조깅, 연습장, 실내수영장","첫사랑, 찍기, 외항, 사랑방, 포토"
강서체육공원,31,호천마을,0.5942,0.7427,0.0,,"센터, 클럽, 연습장, 실내수영장, 조깅","호계천, 명대사, 마린시티, 산복도로, 주택가"
