관광지명,추출_형용사
UN공원,"고귀하다, 특별하다, 시원하다, 거대하다, 색다르다, 드물다, 아름답다, 머나멀다, 간절하다, 의하다, 영원하다, 오래되다, 붉다, 진정하다, 난감하다, 가득하다, 조용하다, 한적하다, 불안정하다, 길다, 덥다, 더하다, 따뜻하다, 빨갛다, 수많다, 괜찮다, 경건하다, 화려하다, 유명하다, 깊다, 향기롭다, 정갈하다, 성하다, 밉다, 강하다, 장하다, 스럽다, 가능하다, 안되다, 푸르다, 새롭다, 어떻다, 이다, 파릇파릇하다, 애틋하다, 작다, 진하다, 적합하다, 부끄럽다, 다양하다, 단순하다, 희다, 뜨겁다, 엄숙하다"
감천문화마을,"부담스럽다, 비슷하다, 부드럽다, 특별하다, 오묘하다, 중요하다, 상당하다, 높다, 자세하다, 어렵다, 민망하다, 좁다, 선명하다, 독특하다, 쉽다, 뽀얗다, 사랑스럽다, 이쁘다, 가득하다, 아기자기하다, 조용하다, 귀엽다, 따뜻하다, 커다랗다, 한적하다, 부족하다, 더하다, 굉장하다, 소소하다, 다행하다, 빠르다, 궁금하다, 어느덧다, 유명하다, 예쁘다, 성하다, 즐겁다, 필요하다, 불편하다, 아쉽다, 값지다, 저렴하다, 착하다, 신나다, 멀다, 가능하다, 멋지다, 야하다, 이상하다, 충분하다, 지루하다, 행복하다, 쏠쏠하다, 넓다, 뜨끈하다, 청결하다, 알록달록하다, 어떻다, 친절하다, 안녕하다, 드럽다, 맛있다, 이다, 애매하다, 깨끗하다, 어느새다, 활기차다, 작다, 진하다, 짧다, 편하다, 다양하다, 다르다, 달콤하다, 희다, 넘치다"
강서체육공원,"원하다, 뿌옇다, 자세하다, 시원하다, 높다, 갑갑하다, 불가능하다, 낮다, 오래되다, 가깝다, 불가하다, 널찍하다, 덥다, 한적하다, 굉장하다, 어둡다, 궁금하다, 괜찮다, 깊다, 인하다, 저렴하다, 무덥다, 스럽다, 멀다, 가능하다, 밉다, 강하다, 야하다, 행복하다, 출출하다, 넓다, 차갑다, 안녕하다, 탁하다, 깨끗하다, 이다, 넉넉하다, 포근하다, 짧다, 확실하다, 편하다, 다양하다, 다르다, 계시다"
광안대교,"부담스럽다, 비슷하다, 미치다, 특별하다, 아깝다, 설레다, 높다, 적당하다, 희한하다, 아름답다, 어렵다, 맑다, 재밌다, 선명하다, 고프다, 끝내주다, 엄청나다, 가깝다, 당연하다, 조용하다, 맵다, 불가하다, 덥다, 널찍하다, 위험하다, 놀랍다, 굉장하다, 신기하다, 친절하다, 궁금하다, 빠르다, 정직하다, 유명하다, 춥다, 무섭다, 고소하다, 바쁘다, 아쉽다, 괜찮다, 저렴하다, 가능하다, 심하다, 멋지다, 신선하다, 이상하다, 망하다, 편안하다, 짭짤하다, 안되다, 쾌적하다, 곱다, 솔직하다, 넓다, 멋있다, 예쁘다, 차갑다, 뻔하다, 비싸다, 맛있다, 이다, 포근하다, 비루하다, 짧다, 재미있다, 편하다, 생소하다, 다양하다, 깔끔하다, 다르다, 확실하다, 간단하다, 기대하다, 은은하다, 시끄럽다"
광안리SUPZONE,"원하다, 특별하다, 시원하다, 평화롭다, 높다, 거대하다, 드넓다, 어렵다, 아름답다, 선연하다, 안전하다, 하얗다, 만족하다, 의하다, 쉽다, 당당하다, 기특하다, 조용하다, 자유롭다, 따뜻하다, 변하다, 길다, 귀중하다, 부족하다, 더하다, 성장하다, 소소하다, 잔잔하다, 무리하다, 고소하다, 예쁘다, 평범하다, 화려하다, 성하다, 필요하다, 밋밋하다, 평온하다, 수월하다, 신나다, 스럽다, 멀다, 멋지다, 단조롭다, 유리하다, 대견하다, 순수하다, 알맞다, 충분하다, 따스하다, 선하다, 연결하다, 쾌적하다, 쏠쏠하다, 느리다, 새롭다, 편리하다, 찡하다, 드럽다, 이다, 깨끗하다, 어느새다, 작다, 적합하다, 편하다, 다양하다, 간단하다, 꼼꼼하다, 은은하다, 거세지다, 넘치다"
구덕야영장,"비슷하다, 미치다, 중요하다, 높다, 상당하다, 익숙하다, 안타깝다, 아름답다, 화창하다, 맑다, 재밌다, 낮다, 싸늘하다, 벅차오르다, 오래되다, 가깝다, 이쁘다, 사랑스럽다, 조용하다, 찹찹하다, 가득하다, 진정하다, 자유롭다, 따뜻하다, 길다, 널찍하다, 어떠하다, 괜찮다, 소박하다, 바쁘다, 유명하다, 안락하다, 깊다, 아쉽다, 인하다, 역다, 저렴하다, 가능하다, 멀다, 멋지다, 야하다, 망하다, 장엄하다, 편안하다, 연결하다, 쾌적하다, 넓다, 설치다, 새롭다, 울퉁불퉁하다, 비싸다, 편리하다, 어떻다, 좋아하다, 안녕하다, 힘드다, 깨끗하다, 이다, 넉넉하다, 급하다, 방대하다, 작다, 짧다, 귀하다, 편하다, 싫다, 친숙하다, 씁쓸하다, 젊다"
구덕운동장,"특별하다, 아깝다, 중요하다, 어렵다, 아름답다, 좁다, 간절하다, 불가능하다, 의하다, 치열하다, 가볍다, 가깝다, 연하다, 귀엽다, 덥다, 꾸준하다, 여전하다, 불과하다, 약하다, 유명하다, 깊다, 필요하다, 즐겁다, 아쉽다, 강하다, 가능하다, 노후하다, 충분하다, 안되다, 넓다, 분명하다, 어떻다, 새롭다, 아프다, 바람직하다, 안녕하다, 낡다, 이다, 힘들다, 힘드다, 맛있다, 작다, 대단하다, 적합하다, 재미있다, 쓰리다, 다양하다, 다르다, 빨르다, 뜨겁다"
구포시장,"부드럽다, 특별하다, 어렵다, 단단하다, 비리다, 한산하다, 재밌다, 풍부하다, 고프다, 만족하다, 배부르다, 쉽다, 아기자기하다, 가득하다, 맵다, 따뜻하다, 덥다, 굉장하다, 다행하다, 궁금하다, 괜찮다, 따끈하다, 유명하다, 화려하다, 친절하다, 즐겁다, 저렴하다, 알차다, 착하다, 가능하다, 신선하다, 놀래다, 웬만하다, 안되다, 행복하다, 쾌적하다, 넓다, 어떻다, 마르다, 비싸다, 좋아하다, 맛있다, 안녕하다, 이다, 넉넉하다, 작다, 정겹다, 확실하다, 지저분하다, 다양하다, 깔끔하다, 조그마하다, 꼼꼼하다, 느끼하다, 큼지막하다"
국립해양박물관,"미치다, 비슷하다, 시원하다, 거대하다, 높다, 색다르다, 익숙하다, 적당하다, 똑같다, 어렵다, 좁다, 어설프다, 엄청나다, 가깝다, 뿌듯하다, 귀엽다, 덥다, 부족하다, 변하다, 길다, 놀랍다, 굉장하다, 신기하다, 괜찮다, 바쁘다, 쎄다, 예쁘다, 화려하다, 무섭다, 깊다, 아쉽다, 즐겁다, 유명하다, 정확하다, 알차다, 가능하다, 멀다, 담백하다, 추하다, 야하다, 충분하다, 지루하다, 간결하다, 멍하다, 안되다, 유익하다, 완벽하다, 솔직하다, 넓다, 느리다, 멋있다, 새롭다, 알록달록하다, 비싸다, 좋아하다, 안녕하다, 이다, 깨끗하다, 힘들다, 급하다, 작다, 짧다, 확실하다, 재미있다, 생소하다, 다양하다, 깔끔하다, 다르다, 부실하다"
국제시장,"설레다, 훌륭하다, 건강하다, 두껍다, 가볍다, 가깝다, 가득하다, 맵다, 변하다, 덥다, 아무렇다, 신기하다, 친절하다, 복잡하다, 무섭다, 유명하다, 화려하다, 얇다, 정확하다, 알차다, 담백하다, 안되다, 아프다, 어떻다, 바삭바삭하다, 마르다, 이다, 편하다, 느끼하다, 탱글탱글하다, 촉촉하다, 궁금하다, 소박하다, 수월하다, 고급스럽다, 스럽다, 알맞다, 따스하다, 완벽하다, 넓다, 뜨끈하다, 작다, 단순하다, 은은하다, 원하다, 부드럽다, 시원하다, 높다, 뿐이다, 끝내주다, 오래되다, 따뜻하다, 길다, 여전하다, 고소하다, 필요하다, 밉다, 신선하다, 씬나다, 쏠쏠하다, 맛있다, 안녕하다, 넉넉하다, 남다르다, 다양하다, 깔끔하다, 갑작스럽다, 특별하다, 좁다, 화창하다, 풍부하다, 생생하다, 당연하다, 깊다, 우수하다, 구수하다, 가능하다, 특이하다, 짭짤하다, 행복하다, 굳다, 대단하다, 진하다, 다르다, 간단하다, 달콤하다"
