관광지명,이미지유사도,리뷰 유사 관광지,리뷰유사도
UN공원,아미르공원(0.1833),성지곡수원지,0.41374826
,용두산공원(0.1525),석당박물관,0.3973862
,낙동강하구에코센터(0.1509),구덕운동장,0.3279633
,오륙도스카이워크(0.1401),사상인디스테이션,0.29144266
,국립해양박물관(0.1285),구덕야영장,0.28122422
감천문화마을,흰여울문화마을(0.6143),호천마을,0.5085909
,호천마을(0.5975),흰여울문화마을,0.3411044
,초량이바구길(0.3070),깡깡이예술마을,0.27322793
,사상인디스테이션(0.2701),부네치아,0.2407207
,절영해안산책로(0.2687),절영해안산책로,0.20586014
강서체육공원,구덕운동장(0.2892),맥도생태공원,0.54379696
,아미르공원(0.2206),삼락생태공원,0.5254476
,부산항대교(0.1950),대저생태공원,0.49768275
,장산(0.1940),화명생태공원,0.4717302
,국립해양박물관(0.1840),구덕운동장,0.4426173
광안대교,용호만유람선부두(0.2133),광안리 SUPZONE,0.54046535
,광안리 SUPZONE(0.1889),부산항대교,0.5353091
,남항대교(0.1791),남항대교,0.50272745
,황령산(0.1617),용호만유람선부두,0.41646397
,부산어촌민속관(0.1612),더베이101,0.34748736
광안리 SUPZONE,광안대교(0.1889),광안대교,0.5404653
,금정산성(0.1601),해운대해수욕장,0.46821874
,부산어촌민속관(0.1406),용호만유람선부두,0.39667988
,용호만유람선(0.1268),다대포해수욕장,0.33464086
,부산항대교(0.0939),다대포낙조분수,0.32710284
구덕야영장,금강공원(0.2200),성지곡수원지,0.49620306
,부산치유의숲(0.1869),부산치유의숲,0.4502414
,성지곡수원지(0.1643),구덕운동장,0.43088531
,안데르센 동화마을(0.1602),강서체육공원,0.43009034
,부산박물관(0.1536),아홉산숲,0.40979248
구덕운동장,강서체육공원(0.2892),강서체육공원,0.4426173
,부산항대교(0.2033),구덕야영장,0.43088531
,태종대(0.2019),사상인디스테이션,0.3556922
,안데르센 동화마을(0.1780),UN공원,0.3279633
,부산박물관(0.1775),문화빙상센터,0.31115612
구포시장,부전마켓타운(0.4624),부전마켓타운,0.6233703
,국제시장(0.3425),서동미로시장,0.62319463
,서동미로시장(0.2846),국제시장,0.5871618
,비프광장(0.2005),자갈치시장,0.54612076
,성지곡수원지(0.1495),전포카페거리,0.46558148
국립해양박물관,영화의전당(0.3604),부산박물관,0.5872018
,벡스코(0.3245),부산어촌민속관,0.516166
,아미르공원(0.3018),문화빙상센터,0.3844438
,안데르센 동화마을(0.2192),석당박물관,0.38108194
,맥도생태공원(0.1959),낙동강하구에코센터,0.37295657
국제시장,구포시장(0.3425),비프광장,0.80845726
,부전마켓타운(0.3061),자갈치시장,0.72607577
,비프광장(0.2735),부전마켓타운,0.6855844
,보수동책방골목(0.2602),서동미로시장,0.6195596
,자갈치시장(0.1995),구포시장,0.5871618
금강공원,장산(0.3400),부산치유의숲,0.36315137
,범어사(0.2240),아홉산숲,0.33370438
,구덕야영장(0.2200),금정산성,0.3313403
,부산치유의숲(0.2134),화명생태공원,0.326119
,황령산(0.1717),동래온천,0.32191333
금정산성,장산(0.3448),회동수원지,0.5232539
,황령산(0.3135),범어사,0.43825686
,동래읍성(0.1745),동래온천,0.3398168
,대저생태공원(0.1663),금강공원,0.3313403
,광안리 SUPZONE(0.1601),서동미로시장,0.3276399
깡깡이예술마을,사상인디스테이션(0.3133),흰여울문화마을,0.5847273
,화명생태공원(0.1941),절영해안산책로,0.4953227
,전포카페거리(0.1912),영도대교,0.3884159
,보수동책방골목(0.1655),초량이바구길,0.34787315
,초량이바구길(0.1639),감천문화마을,0.27322793
낙동강하구에코센터,을숙도(0.3256),을숙도,0.8439245
,부산박물관(0.2696),맥도생태공원,0.4623807
,아미산전망대(0.2667),문화빙상센터,0.39600044
,안데르센 동화마을(0.2075),국립해양박물관,0.37295657
,부산어촌민속관(0.1966),삼락생태공원,0.3190709
남항대교,절영해안산책로(0.2914),부산항대교,0.5903914
,송도해수욕장(0.2477),광안대교,0.50272745
,흰여울문화마을(0.2360),송도용궁구름다리,0.44944978
,부산항대교(0.1826),영도대교,0.44503433
,광안대교(0.1791),절영해안산책로,0.3945356
누리마루,사상인디스테이션(0.4244),해운대해수욕장,0.4173166
,이기대도시자연공원(0.2379),해운대블루라인파크,0.35507223
,국립해양박물관(0.1746),오륙도,0.35357696
,낙동강하구에코센터(0.1604),송도용궁구름다리,0.23543513
,동래온천(0.1555),더베이101,0.22833946
다대포꿈의낙조분수,동래온천(0.1261),다대포해수욕장,0.7991166
,송상현광장(0.1251),아미산전망대,0.45894307
,구덕운동장(0.1179),광안리 SUPZONE,0.32710287
,흰여울문화마을(0.1145),광안대교,0.2963269
,부산프리미엄아울렛(0.1088),남항대교,0.24210402
다대포해수욕장,아미산전망대(0.4576),다대포낙조분수,0.7991166
,해운대해수욕장(0.3229),아미산전망대,0.44424307
,송도해수욕장(0.2370),해운대해수욕장,0.40044495
,사상인디스테이션(0.1794),광안리 SUPZONE,0.33464092
,송정해수욕장(0.1656),임랑해수욕장,0.30488786
대저생태공원,화명생태공원(0.2833),맥도생태공원,0.6846938
,사상인디스테이션(0.2312),화명생태공원,0.6275357
,감천문화마을(0.2181),삼락생태공원,0.6080011
,아홉산숲(0.1720),강서체육공원,0.49768275
,금정산성(0.1663),을숙도,0.4878531
더베이101,해운대해수욕장(0.2001),해운대해수욕장,0.57319164
,안데르센 동화마을(0.1870),용호만유람선부두,0.5155971
,태종대(0.1669),해운대블루라인파크,0.4844496
,부산박물관(0.1538),광안대교,0.34748736
,용호만유람선(0.1493),송정해수욕장,0.32538798
동래온천,부산프리미엄아울렛(0.2521),금정산성,0.3398168
,부산항대교(0.1593),금강공원,0.32191333
,누리마루(0.1555),송정해수욕장,0.27660352
,안데르센 동화마을(0.1531),부산어촌민속관,0.22877392
,다대포꿈의낙조분수(0.1261),동래읍성,0.2276231
동래읍성,장안사(0.1922),석당박물관,0.3770929
,장산(0.1779),부산박물관,0.3610679
,금정산성(0.1745),금정산성,0.29023492
,황령산(0.1714),부산어촌민속관,0.23968862
,감천문화마을(0.1567),범어사,0.23739922
석당박물관,부산어촌민속관(0.2198),부산박물관,0.73913443
,사상인디스테이션(0.1478),사상인디스테이션,0.4875313
,낙동강하구에코센터(0.1357),UN공원,0.3973862
,벡스코(0.1322),문화빙상센터,0.39066646
,부산박물관(0.1139),국립해양박물관,0.38108194
맥도생태공원,삼락생태공원(0.5003),대저생태공원,0.6846938
,을숙도(0.3497),을숙도,0.6663106
,국립해양박물관(0.1959),화명생태공원,0.6539927
,흰여울문화마을(0.1705),삼락생태공원,0.64241886
,화명생태공원(0.1659),강서체육공원,0.54379696
문화빙상센터,벡스코(0.2369),사상인디스테이션,0.6390411
,국립해양박물관(0.1819),안데르센 동화마을,0.5263411
,낙동강하구에코센터(0.1413),부산어촌민속관,0.4400167
,금정산성(0.1305),낙동강하구에코센터,0.39600044
,사상인디스테이션(0.1236),석당박물관,0.39066646
범어사,장안사(0.5371),장안사,0.49544615
,금강공원(0.2240),금정산성,0.43825686
,태종대(0.1690),부산치유의숲,0.3086198
,남항대교(0.1445),아홉산숲,0.30098233
,성지곡수원지(0.1425),회동수원지,0.29995805
벡스코,부산어촌민속관(0.4756),부산박물관,0.4634598
,국립해양박물관(0.3245),사상인디스테이션,0.39259973
,문화빙상센터(0.2369),국립해양박물관,0.37087864
,영화의전당(0.2155),부산프리미엄아울렛,0.35565433
,낙동강하구에코센터(0.1768),부산어촌민속관,0.34093547
보수동책방골목,국제시장(0.2602),전포카페거리,0.41386384
,전포카페거리(0.2598),국제시장,0.398673
,사상인디스테이션(0.2049),부산박물관,0.34238297
,흰여울문화마을(0.1817),비프광장,0.33692467
,초량이바구길(0.1733),서동미로시장,0.31990552
부네치아,사상인디스테이션(0.2466),절영해안산책로,0.30105102
,흰여울문화마을(0.2083),흰여울문화마을,0.28821343
,안데르센 동화마을(0.2004),다대포해수욕장,0.27514213
,성지곡수원지(0.1409),감천문화마을,0.2407207
,화명생태공원(0.1353),깡깡이예술마을,0.23741299
부산박물관,화명생태공원(0.3207),석당박물관,0.73913443
,낙동강하구에코센터(0.2696),국립해양박물관,0.5872018
,사상인디스테이션(0.2462),부산어촌민속관,0.50096315
,부산어촌민속관(0.1972),벡스코,0.4634598
,구덕운동장(0.1775),사상인디스테이션,0.41275373
부산어촌민속관,벡스코(0.4756),국립해양박물관,0.516166
,사상인디스테이션(0.3379),부산박물관,0.50096315
,용호만유람선(0.2744),문화빙상센터,0.4400167
,동아대석당박물관(0.2198),안데르센 동화마을,0.34306645
,부산박물관(0.1972),벡스코,0.34093547
부산치유의숲,금강공원(0.2134),아홉산숲,0.7500139
